,id,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,has_den,last_update,is_active,activation_date
39,537514,Calgary,Altadore,51.022292,-114.098918,/ab/calgary/rentals/condo/2-bedrooms/altadore/non-smoking/537514,Condo Unit,2250,2,,1.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
40,549469,Calgary,Altadore,51.0094842,-114.1039992,/ab/calgary/rentals/duplex/4-bedrooms/altadore/pet-friendly/549469,Duplex,4100,4,,3.5,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
41,138088,Calgary,Altadore,51.0221551,-114.0974525,/ab/calgary/rentals/townhouse/2-bedrooms/altadore/non-smoking/138088,Townhouse,1895,2,,1.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
42,519522,Calgary,Altadore,51.018281,-114.1059359,/ab/calgary/rentals/basement/studio/altadore/pet-friendly/519522,Basement,1990,0,,1.0,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
43,505310,Calgary,Altadore,51.0228138,-114.0950821,/ab/calgary/rentals/storage/altadore/non-smoking/505310,Storage,165,,,0.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
44,532002,Calgary,Altadore,51.011615443084,-114.111909516919,/ab/calgary/rentals/duplex/4-bedrooms/altadore/pet-friendly/532002,Duplex,5450,4,,3.5,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
45,519696,Calgary,Altadore,51.0219009,-114.098811,/ab/calgary/rentals/condo/2-bedrooms/altadore/non-smoking/519696,Condo Unit,2100,2,,2.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
46,539038,Calgary,Altadore,51.0148952,-114.1090705,/ab/calgary/rentals/townhouse/3-bedrooms/altadore/pet-friendly/539038,Townhouse,3475,3,,2.5,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
47,105933,Calgary,Altadore,51.010302057468,-114.107855545044,/ab/calgary/rentals/main-floor/3-bedrooms/altadore/non-smoking/105933,Main Floor,2450,3,,1.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
48,492969,Calgary,Altadore,51.0104589,-114.0994724,/ab/calgary/rentals/townhouse/3 + den-bedrooms/altadore/pet-friendly/492969,Townhouse,3600,3,,3.5,True,True,True,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
