,id,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs
101,94380,Calgary,Arbour Lake,51.133331,-114.213265,/ab/calgary/rentals/condo/1-bedroom/arbour-lake/pet-friendly/94380,Condo Unit,1935,1+den,736,1,2.0,2.0
102,557739,Calgary,Arbour Lake,51.1275361,-114.2105439,/ab/calgary/rentals/condo/2-bedrooms/arbour-lake/pet-friendly/557739,Condo Unit,2450,2+den,900,2,2.0,2.0
103,558463,Calgary,Arbour Lake,51.134227517256,-114.218074947607,/ab/calgary/rentals/main-floor/3-bedrooms/arbour-lake/pet-friendly/558463,Main Floor,2400,3,1117,1,2.0,0.0
104,514811,Calgary,Arbour Lake,51.1318595,-114.2137176,/ab/calgary/rentals/house/3-bedrooms/arbour-lake/non-smoking/514811,House,2850,3,2000,2.5,0.0,0.0
105,559810,Calgary,Arbour Lake,51.1355171,-114.2135219,/ab/calgary/rentals/house/5-bedrooms/arbour-lake/non-smoking/559810,House,2950,5,1356,3,0.0,0.0
106,536779,Calgary,Arbour Lake,51.1408135,-114.1914114,/ab/calgary/rentals/main-floor/3-bedrooms/arbour-lake/non-smoking/536779,Main Floor,2200,3,1247,2,0.0,0.0
107,549357,Calgary,Aspen Woods,51.0430402,-114.2117059,/ab/calgary/rentals/house/3-bedrooms/aspen-woods/pet-friendly/549357,House,3200,3,1992,2.5,2.0,2.0
108,555965,Calgary,Aspen Woods,51.038790011808,-114.217438997553,/ab/calgary/rentals/townhouse/3-bedrooms/aspen-woods/non-smoking/555965,Townhouse,2800,3,1409,2.5,0.0,0.0
109,557107,Calgary,Aspen Woods,51.0417584,-114.2222899,/ab/calgary/rentals/townhouse/3-bedrooms/aspen-woods/non-smoking/557107,Townhouse,2900,3+den,1481,2.5,0.0,0.0
110,88056,Calgary,Aspen Woods,51.0470747,-114.2200649,/ab/calgary/rentals/townhouse/2-bedrooms/aspen-woods/non-smoking/88056,Townhouse,2200,2,1168,1.5,0.0,0.0
111,533615,Calgary,Aspen Woods,51.0453918,-114.2208839,/ab/calgary/rentals/house/4-bedrooms/aspen-woods/furnished/533615,House,5500,4+den,2600,3.5,0.0,0.0
112,344592,Calgary,Aspen Woods,51.0500571,-114.2094441,/ab/calgary/rentals/basement/2-bedrooms/aspen-woods/pet-friendly/344592,Basement,1350,2,1000,1,2.0,0.0
113,487245,Calgary,Aspen Woods,51.0453789,-114.2239056,/ab/calgary/rentals/house/3-bedrooms/aspen-woods/non-smoking/487245,House,5900,3+den,,3.5,0.0,0.0
114,350153,Calgary,Aspen Woods,51.0456432,-114.2142395,/ab/calgary/rentals/house/3-bedrooms/aspen-woods/pet-friendly/350153,House,3795,3,,3.5,2.0,2.0
115,513797,Calgary,Aspen Woods,51.0458257,-114.2041792,/ab/calgary/rentals/house/4-bedrooms/aspen-woods/pet-friendly/513797,House,5250,4+den,,3.5,2.0,2.0
116,129144,Calgary,Aspen Woods,51.038596107488,-114.217825785983,/ab/calgary/rentals/townhouse/2-bedrooms/aspen-woods/pet-friendly/129144,Townhouse,2550,2,909,2,2.0,2.0
117,505368,Calgary,Aspen Woods,51.0504544,-114.2168831,/ab/calgary/rentals/house/3-bedrooms/aspen-woods/pet-friendly/505368,House,4995,3+den,2550,3,0.0,2.0
118,380853,Calgary,Aspen Woods,51.039758406683,-114.196001432017,/ab/calgary/rentals/house/6-bedrooms/aspen-woods/pet-friendly/380853,House,9000,6,5900,6,2.0,2.0
119,481150,Calgary,Aspen Woods,51.0470747,-114.2200648,/ab/calgary/rentals/townhouse/2-bedrooms/aspen-woods/pet-friendly/481150,Townhouse,2475,2,1220,2.5,0.0,2.0
120,558258,Calgary,Aspen Woods,51.0389061,-114.216173,/ab/calgary/rentals/apartment/2-bedrooms/aspen-woods/non-smoking/558258,Apartment,,2,,2.5,0.0,0.0
121,555826,Calgary,Auburn Bay,50.8865325,-113.9432354,/ab/calgary/rentals/house/4-bedrooms/auburn-bay/non-smoking/555826,House,3000,4+den,1510,3.5,0.0,0.0
122,559615,Calgary,Auburn Bay,50.8911758,-113.9445711,/ab/calgary/rentals/house/3-bedrooms/auburn-bay/559615,House,2800,3,,2.5,0.0,0.0
123,387966,Calgary,Auburn Bay,50.897382,-113.9554416,/ab/calgary/rentals/basement/2-bedrooms/auburn-bay/non-smoking/387966,Basement,1800,2+den,,1,0.0,0.0
124,545132,Calgary,Auburn Bay,50.8845204,-113.9661695,/ab/calgary/rentals/basement/2-bedrooms/auburn-bay/non-smoking/545132,Basement,1800,2,,1,0.0,0.0
125,507047,Calgary,Auburn Bay,50.8933899,-113.9441,/ab/calgary/rentals/condo/2-bedrooms/auburn-bay/non-smoking/507047,Condo Unit,2200,2,800,2,0.0,0.0
126,559311,Calgary,Auburn Bay,50.899002,-113.967006,/ab/calgary/rentals/shared/1-bedroom/auburn-bay/furnished/559311,Room For Rent,1000,1,2200,1,0.0,0.0
127,398844,Calgary,Auburn Bay,50.8839746,-113.9555387,/ab/calgary/rentals/shared/1-bedroom/auburn-bay/short-term/398844,Room For Rent,900,1,644,1,0.0,0.0
128,558878,Calgary,Auburn Bay,50.8846674,-113.9544064,/ab/calgary/rentals/condo/2-bedrooms/auburn-bay/furnished/558878,Condo Unit,2490,2,800,1,0.0,0.0
129,387637,Calgary,Auburn Bay,50.8950246,-113.949093,/ab/calgary/rentals/house/3-bedrooms/auburn-bay/non-smoking/387637,House,3200,3+den,2175,2.5,0.0,0.0
130,443240,Calgary,Auburn Bay,50.892605598761,-113.945661065607,/ab/calgary/rentals/apartment/2-bedrooms/auburn-bay/pet-friendly/443240,Apartment,2250,2,800 sqft,2,2.0,2.0
131,557201,Calgary,Auburn Bay,50.8947671,-113.9461316,/ab/calgary/rentals/condo/2-bedrooms/auburn-bay/non-smoking/557201,Condo Unit,2300,2,847.24,2,0.0,0.0
132,454129,Calgary,Auburn Bay,50.885543951889,-113.9509079,/ab/calgary/rentals/townhouse/2-bedrooms/auburn-bay/non-smoking/454129,Townhouse,1995,2,1114,2.5,0.0,0.0
133,473231,Calgary,Auburn Bay,50.8960942,-113.9692806,/ab/calgary/rentals/house/2-bedrooms/auburn-bay/short-term/473231,House,3100,2,,3.5,0.0,0.0
134,544068,Calgary,Auburn Bay,50.8936652,-113.9444639,/ab/calgary/rentals/condo/2-bedrooms/auburn-bay/non-smoking/544068,Condo Unit,2200,2,,2,0.0,0.0
135,119181,Calgary,Auburn Bay,50.883964602187,-113.95666261272,/ab/calgary/rentals/condo/2-bedrooms/auburn-bay/pet-friendly/119181,Condo Unit,2000,2+den,935,2,2.0,2.0
136,144371,Calgary,Auburn Bay,50.8863657,-113.9493754,/ab/calgary/rentals/condo/2-bedrooms/auburn-bay/pet-friendly/144371,Condo Unit,2399,2,917,2,2.0,2.0
137,554419,Calgary,Auburn Bay,50.8934149,-113.9446036,/ab/calgary/rentals/shared/1-bedroom/auburn-bay/furnished/554419,Room For Rent,950,1,747,1,0.0,0.0
138,148039,Calgary,Auburn Bay,50.8902826,-113.9451966,/ab/calgary/rentals/condo/2-bedrooms/auburn-bay/non-smoking/148039,Condo Unit,2200,2,919,2,0.0,0.0
139,511540,Calgary,Auburn Bay,50.8888232,-113.948116,/ab/calgary/rentals/main-floor/4-bedrooms/auburn-bay/non-smoking/511540,Main Floor,3300,4,2369,3,0.0,0.0
140,455571,Calgary,Auburn Bay,50.8876719,-113.9672412,/ab/calgary/rentals/house/3-bedrooms/auburn-bay/non-smoking/455571,House,2475,3,,2.5,0.0,0.0
141,91416,Calgary,Auburn Bay,50.8961704,-113.9607254,/ab/calgary/rentals/townhouse/2-bedrooms/auburn-bay/non-smoking/91416,Townhouse,2300,2,1550+,3,0.0,0.0
142,497069,Calgary,Auburn Bay,50.8922372,-113.9436734,/ab/calgary/rentals/apartment/2-bedrooms/auburn-bay/furnished/497069,Apartment,2500,2,976,2,0.0,0.0
143,558273,Calgary,Auburn Bay,50.8844736,-113.9542959,/ab/calgary/rentals/townhouse/2-bedrooms/auburn-bay/non-smoking/558273,Townhouse,2050,2,644,1,0.0,0.0
